GEO_ID,FIPS_State,FIPS_County,NAME,County,State,Stabr,Population_2019,Unemployment rate 2019,Percent w/o Health insurance,"MOE, % w/o health ins.",Poverty Rate (%),"MOE, Poverty Rate (%)",Percent received SNAP (2018),MOE SNAP,Percent with no home computer (2018),MOE No Computer,Percent with no home Internet (2018),MOE no Internet,Percent with home Broadband (2018),MOE Broadband,Number of Broadband providers (2019),"Population for whom broadband available, 2019 (%)","Lowest broadband cost per month, 2019 ($)"
0500000US01035,01,035,"Conecuh County, Alabama",Conecuh,Alabama,AL,12067,4.0     ,14.5     ,3.4     ,22.2     ,5.0     ,17.8,3.8,42.4,4.9,52.2,4.9,47.2,4.8,0,0.0,N/A
0500000US01037,01,037,"Coosa County, Alabama",Coosa,Alabama,AL,10663,3.0     ,7.8     ,2.7     ,14.0     ,4.0     ,10.3,2.9,24.8,4.1,35.1,4.3,64.3,4.3,0,0.0,N/A
0500000US01039,01,039,"Covington County, Alabama",Covington,Alabama,AL,37049,3.4     ,11.2     ,1.4     ,18.3     ,1.9     ,14.4,1.6,23.4,1.9,30.6,1.9,68.6,1.8,0,0.0,N/A
0500000US01041,01,041,"Crenshaw County, Alabama",Crenshaw,Alabama,AL,13772,2.8     ,10.0     ,1.7     ,15.7     ,2.4     ,18.7,2.5,29.1,3.3,40.1,3.2,59.6,3.2,1,81.4,187.47
0500000US01043,01,043,"Cullman County, Alabama",Cullman,Alabama,AL,83768,2.6     ,11.8     ,1.1     ,15.8     ,1.6     ,12.0,1.3,18.7,1.3,29.2,1.5,69.9,1.5,0,0.0,N/A
0500000US01045,01,045,"Dale County, Alabama",Dale,Alabama,AL,49172,3.1     ,11.4     ,1.3     ,18.4     ,1.8     ,19.2,1.7,15.6,1.7,26.3,1.8,72.9,1.8,1,98.0,74.99
0500000US01047,01,047,"Dallas County, Alabama",Dallas,Alabama,AL,37196,5.5     ,12.0     ,1.4     ,31.1     ,2.4     ,31.0,2.4,28.2,2.1,35.9,2.6,63.4,2.6,1,97.7,299.95
0500000US01049,01,049,"DeKalb County, Alabama",DeKalb,Alabama,AL,71513,2.8     ,14.5     ,1.2     ,22.1     ,2.0     ,19.0,1.5,21.0,2.0,32.4,2.3,67.0,2.3,1,2.3,187.47
0500000US01051,01,051,"Elmore County, Alabama",Elmore,Alabama,AL,81209,2.6     ,8.2     ,1.1     ,12.3     ,1.8     ,12.7,1.7,13.4,1.4,20.1,1.7,79.6,1.7,3,87.2,139.99
0500000US01053,01,053,"Escambia County, Alabama",Escambia,Alabama,AL,36633,3.5     ,15.5     ,1.7     ,24.0     ,2.7     ,16.9,2.0,34.6,2.9,42.0,2.8,57.3,2.8,1,90.1,187.47
0500000US01055,01,055,"Etowah County, Alabama",Etowah,Alabama,AL,102268,3.3     ,10.4     ,0.7     ,17.3     ,1.2     ,14.1,1.2,16.6,1.1,26.1,1.4,73.4,1.4,0,0.0,N/A
0500000US01057,01,057,"Fayette County, Alabama",Fayette,Alabama,AL,16302,3.1     ,8.8     ,1.8     ,20.0     ,2.9     ,18.5,2.7,22.2,2.8,30.7,3.2,68.9,3.2,0,0.0,N/A
0500000US01059,01,059,"Franklin County, Alabama",Franklin,Alabama,AL,31362,2.8     ,12.8     ,2.0     ,20.2     ,2.6     ,17.7,2.5,28.4,2.8,40.0,3.1,59.7,3.1,6,81.6,63.33
0500000US01061,01,061,"Geneva County, Alabama",Geneva,Alabama,AL,26271,2.9     ,13.7     ,1.5     ,24.0     ,3.2     ,18.7,2.4,20.2,2.6,32.2,2.8,66.9,2.8,7,91.2,70.00
0500000US01063,01,063,"Greene County, Alabama",Greene,Alabama,AL,8111,5.6     ,11.4     ,3.1     ,38.7     ,5.8     ,41.8,7.5,44.8,6.8,53.7,6.4,46.2,6.4,5,69.2,67.50
0500000US01065,01,065,"Hale County, Alabama",Hale,Alabama,AL,14651,3.9     ,8.8     ,1.7     ,26.0     ,3.9     ,27.1,3.6,34.4,4.0,44.8,3.7,54.9,3.7,4,29.9,70.00
0500000US01067,01,067,"Henry County, Alabama",Henry,Alabama,AL,17205,3.6     ,11.4     ,2.3     ,13.5     ,2.2     ,17.3,2.8,19.0,2.5,26.6,2.6,72.2,2.8,9,69.4,70.59
0500000US01069,01,069,"Houston County, Alabama",Houston,Alabama,AL,105882,3.0     ,10.4     ,0.5     ,18.3     ,0.8     ,14.7,0.6,19.9,0.7,28.5,0.8,70.4,0.8,2,88.2,67.97
0500000US01071,01,071,"Jackson County, Alabama",Jackson,Alabama,AL,51626,3.3     ,9.6     ,0.9     ,20.2     ,2.5     ,12.7,1.5,21.7,2.0,32.4,2.2,67.1,2.1,7,79.2,65.00
0500000US01073,01,073,"Jefferson County, Alabama",Jefferson,Alabama,AL,658573,2.9     ,9.5     ,0.4     ,17.0     ,0.6     ,14.7,0.5,13.8,0.4,23.3,0.6,76.4,0.6,6,92.0,65.00
0500000US01075,01,075,"Lamar County, Alabama",Lamar,Alabama,AL,13805,3.1     ,9.4     ,2.5     ,21.2     ,3.5     ,17.6,3.2,23.3,2.8,36.1,3.7,63.0,3.8,4,82.3,66.24
0500000US01077,01,077,"Lauderdale County, Alabama",Lauderdale,Alabama,AL,92729,3.3     ,9.1     ,0.9     ,15.2     ,1.3     ,12.8,1.3,19.2,1.4,30.9,1.8,68.7,1.7,3,47.8,66.19
0500000US01079,01,079,"Lawrence County, Alabama",Lawrence,Alabama,AL,32924,3.1     ,8.2     ,1.0     ,16.8     ,2.2     ,15.4,2.1,24.0,2.1,39.8,2.6,59.2,2.7,7,67.0,67.50
0500000US01081,01,081,"Lee County, Alabama",Lee,Alabama,AL,164542,2.7     ,7.9     ,0.8     ,21.4     ,1.3     ,11.7,1.2,9.7,1.0,19.3,1.2,80.3,1.2,2,28.5,72.45
0500000US01083,01,083,"Limestone County, Alabama",Limestone,Alabama,AL,98915,2.6     ,9.6     ,1.0     ,13.7     ,1.5     ,11.4,1.3,14.2,1.2,22.8,1.4,76.6,1.4,5,64.4,68.65
0500000US01085,01,085,"Lowndes County, Alabama",Lowndes,Alabama,AL,9726,5.7     ,9.2     ,1.5     ,27.9     ,3.4     ,32.3,3.0,33.8,3.9,50.0,3.8,49.4,3.9,3,43.4,61.66
0500000US01087,01,087,"Macon County, Alabama",Macon,Alabama,AL,18068,4.3     ,8.1     ,1.2     ,25.8     ,2.6     ,24.2,2.6,26.5,2.6,43.5,2.7,55.8,2.8,4,14.5,57.50
0500000US01089,01,089,"Madison County, Alabama",Madison,Alabama,AL,372909,2.5     ,8.9     ,0.5     ,13.2     ,0.7     ,10.6,0.6,9.1,0.5,15.8,0.7,83.9,0.8,8,90.2,69.99
0500000US01091,01,091,"Marengo County, Alabama",Marengo,Alabama,AL,18863,3.5     ,9.6     ,2.0     ,21.8     ,3.5     ,21.0,3.4,32.6,3.7,45.8,3.6,53.1,3.8,7,80.3,67.35
0500000US01093,01,093,"Marion County, Alabama",Marion,Alabama,AL,29709,3.4     ,10.5     ,2.1     ,17.5     ,2.7     ,14.8,2.1,22.4,2.3,34.8,2.8,64.6,2.8,3,44.9,60.00
0500000US01095,01,095,"Marshall County, Alabama",Marshall,Alabama,AL,96774,2.5     ,13.1     ,1.0     ,21.7     ,1.5     ,15.6,1.2,17.5,1.3,25.4,1.4,74.5,1.4,7,81.2,67.50
0500000US01097,01,097,"Mobile County, Alabama",Mobile,Alabama,AL,413210,3.7     ,11.6     ,0.5     ,19.3     ,0.8     ,17.0,0.7,17.5,0.6,27.1,0.7,72.2,0.7,5,85.4,69.99
0500000US01099,01,099,"Monroe County, Alabama",Monroe,Alabama,AL,20733,4.9     ,13.4     ,2.2     ,30.9     ,4.1     ,15.9,3.1,49.6,3.0,57.0,3.3,41.6,3.4,6,72.3,67.46
0500000US01101,01,101,"Montgomery County, Alabama",Montgomery,Alabama,AL,226486,3.1     ,10.5     ,0.6     ,20.7     ,1.1     ,19.1,0.9,14.1,0.8,22.4,0.9,77.4,0.9,3,77.5,63.33
0500000US01103,01,103,"Morgan County, Alabama",Morgan,Alabama,AL,119679,2.6     ,10.2     ,0.9     ,15.3     ,1.4     ,13.5,1.4,16.1,1.2,26.5,1.7,72.8,1.7,5,94.3,74.99
0500000US01105,01,105,"Perry County, Alabama",Perry,Alabama,AL,8923,5.2     ,12.7     ,3.1     ,41.8     ,7.6     ,38.8,6.9,44.1,7.1,52.9,7.1,46.2,7.1,3,78.3,65.00
0500000US01107,01,107,"Pickens County, Alabama",Pickens,Alabama,AL,19930,3.5     ,8.5     ,1.4     ,23.5     ,3.1     ,16.1,2.5,27.1,3.0,36.7,3.5,62.8,3.5,6,90.0,69.79
0500000US01109,01,109,"Pike County, Alabama",Pike,Alabama,AL,33114,3.3     ,9.6     ,1.8     ,26.6     ,3.0     ,16.5,2.5,30.7,3.2,39.1,3.2,59.2,3.2,9,92.8,60.00
0500000US01111,01,111,"Randolph County, Alabama",Randolph,Alabama,AL,22722,3.0     ,10.5     ,2.0     ,17.7     ,2.1     ,15.0,2.4,20.4,2.9,29.1,3.2,68.9,3.4,2,75.1,70.00
0500000US01113,01,113,"Russell County, Alabama",Russell,Alabama,AL,57961,2.9     ,13.4     ,1.4     ,20.1     ,2.2     ,19.2,1.9,17.5,2.1,33.4,2.5,66.2,2.5,6,94.5,69.81
0500000US01115,01,115,"St. Clair County, Alabama",St. Clair,Alabama,AL,89512,2.7     ,8.8     ,1.2     ,13.2     ,1.8     ,10.9,1.4,14.6,1.4,23.9,1.8,75.2,1.7,3,27.2,58.63
0500000US01117,01,117,"Shelby County, Alabama",Shelby,Alabama,AL,217702,2.2     ,6.8     ,0.6     ,8.4     ,0.7     ,5.4,0.5,6.7,0.5,13.4,0.7,86.4,0.7,5,65.1,62.31
0500000US01119,01,119,"Sumter County, Alabama",Sumter,Alabama,AL,12427,4.5     ,15.5     ,2.9     ,31.3     ,4.3     ,29.6,5.1,29.2,4.3,41.7,4.1,57.9,4.2,3,56.5,74.99
0500000US01121,01,121,"Talladega County, Alabama",Talladega,Alabama,AL,79978,3.4     ,9.3     ,0.9     ,19.9     ,1.8     ,17.4,1.3,19.0,1.5,29.8,1.8,69.8,1.8,2,0.2,60.00
0500000US01123,01,123,"Tallapoosa County, Alabama",Tallapoosa,Alabama,AL,40367,3.0     ,8.1     ,1.2     ,20.3     ,2.2     ,20.1,2.2,20.2,2.2,29.8,2.7,70.0,2.6,5,56.2,69.99
0500000US01125,01,125,"Tuscaloosa County, Alabama",Tuscaloosa,Alabama,AL,209355,2.7     ,7.5     ,0.5     ,17.4     ,1.0     ,10.0,0.8,13.5,0.9,21.8,1.0,78.0,1.0,4,60.1,69.99
0500000US01127,01,127,"Walker County, Alabama",Walker,Alabama,AL,63521,3.3     ,11.0     ,1.0     ,19.7     ,1.8     ,16.2,1.3,20.0,1.4,31.4,1.7,68.0,1.7,7,87.4,74.99
0500000US01129,01,129,"Washington County, Alabama",Washington,Alabama,AL,16326,4.6     ,9.6     ,2.1     ,21.0     ,4.0     ,16.3,3.5,24.0,3.4,40.6,4.5,58.3,4.4,10,93.6,70.50
0500000US01131,01,131,"Wilcox County, Alabama",Wilcox,Alabama,AL,10373,7.1     ,11.6     ,2.1     ,31.1     ,4.7     ,24.5,3.4,37.6,4.7,49.2,4.4,49.2,4.4,9,99.0,67.50
0500000US01133,01,133,"Winston County, Alabama",Winston,Alabama,AL,23629,3.3     ,12.3     ,1.9     ,16.2     ,2.2     ,14.2,2.1,24.3,3.3,36.7,3.3,62.2,3.3,5,37.6,58.31
0500000US02013,02,013,"Aleutians East Borough, Alaska",Aleutians East,Alaska,AK,3337,2.8     ,45.6     ,3.1     ,15.4     ,2.8     ,12.9,3.1,13.5,2.3,32.7,2.8,67.3,2.8,6,79.3,67.50
0500000US02016,02,016,"Aleutians West Census Area, Alaska",Aleutians West,Alaska,AK,5634,3.6     ,18.8     ,2.5     ,8.5     ,1.6     ,6.0,1.3,7.3,1.4,24.0,2.9,75.7,2.9,3,56.7,65.00
0500000US02020,02,020,"Anchorage Municipality, Alaska",Anchorage,Alaska,AK,288000,5.1     ,12.2     ,0.7     ,9.2     ,0.8     ,8.7,0.6,4.6,0.5,11.0,0.7,88.7,0.7,9,97.2,63.33
0500000US02050,02,050,"Bethel Census Area, Alaska",Bethel,Alaska,AK,18386,12.9     ,20.7     ,1.6     ,27.8     ,1.9     ,39.4,2.3,14.1,1.3,27.7,1.9,72.3,1.9,9,93.4,67.50
0500000US02060,02,060,"Bristol Bay Borough, Alaska",Bristol Bay,Alaska,AK,836,6.1     ,19.8     ,3.5     ,5.8     ,2.0     ,5.7,2.1,7.5,2.8,16.8,5.4,81.4,5.5,1,13.5,65.00
0500000US02068,02,068,"Denali Borough, Alaska",Denali,Alaska,AK,2097,8.5     ,19.2     ,5.9     ,16.9     ,9.6     ,5.6,2.9,5.2,2.7,11.4,4.0,88.6,4.0,2,67.6,65.49
0500000US02070,02,070,"Dillingham Census Area, Alaska",Dillingham,Alaska,AK,4916,8.1     ,22.4     ,2.0     ,17.2     ,2.3     ,26.4,3.5,13.3,2.1,23.6,3.1,76.3,3.0,9,97.5,69.00
0500000US02090,02,090,"Fairbanks North Star Borough, Alaska",Fairbanks North Star,Alaska,AK,96849,5.4     ,10.0     ,1.2     ,8.1     ,1.2     ,6.9,1.0,5.0,1.0,14.5,1.6,84.8,1.6,3,13.3,60.00
0500000US02100,02,100,"Haines Borough, Alaska",Haines,Alaska,AK,2530,8.9     ,15.5     ,5.4     ,9.0     ,6.2     ,7.7,4.4,4.2,2.4,10.9,4.0,87.4,4.5,5,84.7,59.98
0500000US02105,02,105,"Hoonah-Angoon Census Area, Alaska",Hoonah-Angoon,Alaska,AK,2148,11.4     ,25.1     ,3.3     ,9.7     ,2.1     ,14.0,3.0,15.9,3.3,29.7,3.9,70.3,3.9,9,95.3,71.87
0500000US02110,02,110,"Juneau City and Borough, Alaska",Juneau,Alaska,AK,31974,4.4     ,11.1     ,1.8     ,7.9     ,1.4     ,8.2,1.5,5.0,1.1,10.9,2.0,88.8,2.0,8,95.4,70.00
0500000US02122,02,122,"Kenai Peninsula Borough, Alaska",Kenai Peninsula,Alaska,AK,58708,6.8     ,17.2     ,1.4     ,12.0     ,1.4     ,9.6,1.1,9.9,1.1,21.5,1.5,77.1,1.6,1,62.9,60.00
0500000US02130,02,130,"Ketchikan Gateway Borough, Alaska",Ketchikan Gateway,Alaska,AK,13901,6.2     ,13.2     ,1.6     ,10.5     ,1.6     ,14.8,1.8,8.3,1.5,16.2,1.9,83.6,1.9,6,97.2,68.98
0500000US02150,02,150,"Kodiak Island Borough, Alaska",Kodiak Island,Alaska,AK,12998,5.6     ,20.3     ,3.1     ,9.3     ,2.1     ,9.2,2.8,10.7,2.7,17.5,3.3,82.5,3.3,7,90.9,68.24
0500000US02158,02,158,"Kusilvak Census Area, Alaska",,Alaska,AK,8314,19.3     ,21.1     ,1.3     ,40.5     ,1.8     ,59.9,3.6,20.0,2.3,37.5,2.2,62.5,2.2,0,0.0,N/A
0500000US02164,02,164,"Lake and Peninsula Borough, Alaska",Lake and Peninsula,Alaska,AK,1592,9.9     ,31.6     ,4.6     ,15.9     ,2.9     ,24.0,4.6,17.2,2.9,38.6,5.1,61.2,4.9,3,34.2,69.99
0500000US02170,02,170,"Matanuska-Susitna Borough, Alaska",Matanuska-Susitna,Alaska,AK,108317,6.9     ,15.2     ,0.9     ,10.3     ,0.7     ,10.3,0.8,5.8,0.5,13.2,0.8,86.2,0.8,6,55.4,67.46
0500000US02180,02,180,"Nome Census Area, Alaska",Nome,Alaska,AK,10004,10.9     ,22.5     ,1.5     ,23.1     ,2.0     ,31.8,2.5,11.3,1.4,28.0,2.2,72.0,2.2,5,51.0,76.22
0500000US02185,02,185,"North Slope Borough, Alaska",North Slope,Alaska,AK,9832,6.4     ,20.8     ,2.9     ,9.3     ,2.2     ,17.4,4.0,15.5,3.8,31.9,5.0,67.7,4.9,5,91.2,67.50
0500000US02188,02,188,"Northwest Arctic Borough, Alaska",Northwest Arctic,Alaska,AK,7621,14.0     ,27.6     ,1.6     ,25.1     ,2.4     ,34.5,3.0,17.8,2.0,29.9,2.9,70.1,2.9,6,96.3,67.50
0500000US02195,02,195,"Petersburg Borough, Alaska",Petersburg,Alaska,AK,3266,8.7     ,9.1     ,3.1     ,8.2     ,2.5     ,11.1,3.6,9.3,2.4,21.7,4.1,78.1,4.2,10,80.5,69.99
0500000US02198,02,198,"Prince of Wales-Hyder Census Area, Alaska",Prince of Wales-Hyder,Alaska,AK,6203,10.1     ,25.9     ,1.7     ,15.2     ,1.9     ,17.6,2.1,14.5,2.2,33.1,2.5,66.8,2.5,3,49.1,60.00
0500000US02220,02,220,"Sitka City and Borough, Alaska",Sitka,Alaska,AK,8493,4.2     ,18.3     ,2.5     ,7.5     ,1.4     ,8.3,1.9,7.5,1.7,16.6,2.6,83.0,2.6,8,76.0,65.00
0500000US02230,02,230,"Skagway Municipality, Alaska",Skagway,Alaska,AK,1183,9.2     ,18.9     ,4.8     ,5.3     ,2.7     ,2.8,1.5,3.8,1.9,14.5,3.3,85.5,3.3,6,91.8,67.50
0500000US02240,02,240,"Southeast Fairbanks Census Area, Alaska",Southeast Fairbanks,Alaska,AK,6893,9.0     ,15.6     ,2.7     ,10.8     ,2.1     ,8.8,2.0,10.4,2.5,27.7,4.2,71.8,4.2,6,92.5,66.56
0500000US02261,02,261,"Valdez-Cordova Census Area, Alaska",Valdez-Cordova,Alaska,AK,9202,7.5     ,15.7     ,2.7     ,8.1     ,3.0     ,4.6,1.3,8.7,3.1,20.7,4.7,79.1,4.7,5,76.8,67.19
0500000US02275,02,275,"Wrangell City and Borough, Alaska",Wrangell,Alaska,AK,2502,7.7     ,15.0     ,3.5     ,7.8     ,2.3     ,13.8,3.4,17.3,4.5,27.9,5.4,71.7,5.3,5,52.8,72.98
0500000US02282,02,282,"Yakutat City and Borough, Alaska",Yakutat,Alaska,AK,579,7.7     ,20.5     ,4.4     ,6.7     ,3.7     ,8.6,4.3,9.5,3.8,28.9,5.0,69.8,5.0,3,46.5,60.00
0500000US02290,02,290,"Yukon-Koyukuk Census Area, Alaska",Yukon-Koyukuk,Alaska,AK,5230,14.0     ,29.2     ,1.9     ,25.1     ,2.1     ,31.8,3.0,33.5,2.1,56.0,2.3,43.7,2.3,6,63.5,60.18
0500000US04001,04,001,"Apache County, Arizona",Apache,Arizona,AZ,71887,9.9     ,23.5     ,1.0     ,35.3     ,1.4     ,25.6,1.2,45.0,1.5,61.0,1.7,38.0,1.8,3,15.3,50.00
0500000US04003,04,003,"Cochise County, Arizona",Cochise,Arizona,AZ,125922,5.7     ,8.2     ,0.7     ,17.2     ,1.3     ,16.2,1.2,13.2,1.0,21.2,1.3,78.2,1.3,3,26.0,63.33
0500000US04005,04,005,"Coconino County, Arizona",Coconino,Arizona,AZ,143476,5.5     ,12.3     ,0.8     ,18.9     ,1.2     ,11.6,1.0,11.0,0.8,22.2,1.1,77.4,1.1,6,79.6,55.00
0500000US04007,04,007,"Gila County, Arizona",Gila,Arizona,AZ,54018,5.5     ,11.3     ,1.6     ,22.5     ,2.0     ,17.1,1.6,19.5,1.7,37.9,2.0,61.5,2.0,9,93.1,72.85
0500000US04009,04,009,"Graham County, Arizona",Graham,Arizona,AZ,38837,4.8     ,8.5     ,1.5     ,21.3     ,2.5     ,17.1,1.8,13.2,2.0,27.9,2.5,71.9,2.5,4,78.4,63.65
0500000US04011,04,011,"Greenlee County, Arizona",Greenlee,Arizona,AZ,9498,3.9     ,7.3     ,2.0     ,11.9     ,2.9     ,7.6,2.3,10.6,2.9,23.6,4.4,76.1,4.4,1,62.8,77.98
0500000US04012,04,012,"La Paz County, Arizona",La Paz,Arizona,AZ,21108,5.8     ,14.5     ,2.3     ,22.1     ,2.9     ,14.6,3.5,23.5,3.4,39.0,3.9,60.6,3.9,1,6.9,60.00
0500000US04013,04,013,"Maricopa County, Arizona",Maricopa,Arizona,AZ,4485414,4.0     ,11.1     ,0.2     ,14.7     ,0.2     ,10.1,0.2,8.5,0.2,15.6,0.2,84.1,0.2,3,71.0,70.24
0500000US04015,04,015,"Mohave County, Arizona",Mohave,Arizona,AZ,212181,5.7     ,10.4     ,0.8     ,17.5     ,1.1     ,15.2,0.9,14.0,0.9,21.1,1.0,78.2,1.0,1,54.4,42.50
0500000US04017,04,017,"Navajo County, Arizona",Navajo,Arizona,AZ,110924,7.3     ,13.5     ,0.9     ,28.5     ,1.4     ,23.2,1.3,25.2,1.1,38.7,1.3,60.7,1.4,2,77.3,48.31
0500000US04019,04,019,"Pima County, Arizona",Pima,Arizona,AZ,1047279,4.4     ,9.9     ,0.3     ,17.8     ,0.5     ,13.6,0.3,9.0,0.3,16.4,0.4,83.1,0.4,3,67.5,52.50
0500000US04021,04,021,"Pinal County, Arizona",Pinal,Arizona,AZ,462789,4.9     ,8.8     ,0.5     ,14.2     ,0.8     ,11.8,0.6,11.1,0.6,19.2,0.8,80.5,0.8,4,53.7,54.99
0500000US04023,04,023,"Santa Cruz County, Arizona",Santa Cruz,Arizona,AZ,46498,8.5     ,11.6     ,1.8     ,24.0     ,2.8     ,27.3,2.3,18.7,2.1,30.3,2.7,69.2,2.7,3,84.1,77.98
0500000US04025,04,025,"Yavapai County, Arizona",Yavapai,Arizona,AZ,235099,4.4     ,10.4     ,0.8     ,14.0     ,1.0     ,9.3,0.8,10.3,0.7,19.3,1.0,80.1,1.0,4,70.2,62.98
0500000US04027,04,027,"Yuma County, Arizona",Yuma,Arizona,AZ,213787,16.4     ,13.3     ,1.1     ,20.1     ,1.2     ,19.0,1.1,16.4,0.8,23.3,1.0,76.3,1.0,3,45.4,47.50
0500000US05001,05,001,"Arkansas County, Arkansas",Arkansas,Arkansas,AR,17486,3.0     ,6.8     ,1.3     ,20.0     ,2.9     ,17.4,2.4,21.0,2.4,36.9,2.6,62.8,2.6,5,88.6,63.71
0500000US05003,05,003,"Ashley County, Arkansas",Ashley,Arkansas,AR,19657,5.4     ,9.2     ,1.5     ,20.2     ,2.8     ,19.5,2.8,24.2,3.1,39.2,3.7,60.5,3.8,5,86.5,64.16
0500000US05005,05,005,"Baxter County, Arkansas",Baxter,Arkansas,AR,41932,4.0     ,5.6     ,1.0     ,14.0     ,1.5     ,9.9,1.3,16.4,1.9,27.8,2.4,70.8,2.4,2,79.9,65.82
0500000US05007,05,007,"Benton County, Arkansas",Benton,Arkansas,AR,279141,2.6     ,9.4     ,0.5     ,9.9     ,0.7     ,5.7,0.5,8.4,0.7,34.8,1.4,64.8,1.3,4,59.0,69.98
0500000US05009,05,009,"Boone County, Arkansas",Boone,Arkansas,AR,37432,3.2     ,6.8     ,1.5     ,14.9     ,2.4     ,15.4,2.0,15.2,1.7,21.5,2.1,77.7,2.1,1,37.4,54.98
0500000US05011,05,011,"Bradley County, Arkansas",Bradley,Arkansas,AR,10763,4.1     ,11.5     ,2.3     ,23.2     ,3.0     ,19.5,3.2,22.3,3.1,36.6,3.7,62.8,3.8,3,73.0,42.50
0500000US05013,05,013,"Calhoun County, Arkansas",Calhoun,Arkansas,AR,5189,4.4     ,8.2     ,2.6     ,15.6     ,3.6     ,10.9,3.2,25.5,5.0,39.6,5.4,59.2,5.4,3,68.5,42.50
0500000US05015,05,015,"Carroll County, Arkansas",Carroll,Arkansas,AR,28380,3.1     ,12.4     ,1.7     ,15.0     ,2.6     ,8.0,2.0,16.9,2.5,33.1,2.8,65.7,2.9,9,81.6,56.99
