full_name,county,state,state_abr,population,unemp,health_ins,poverty,SNAP,no_comp,no_internet,home_broad,broad_num,broad_avail,broad_cost,population_bbn,price_bbn,wired_bbn,provide_bbn,all25_bbn,downave_bbn,access_bbn,slowfrac_bbn
"Clay County, Alabama",Clay,Alabama,AL,13235.0,3.0,10.2,18.4,15.7,21.1,31.5,68.2,1.0,86.6,115.0,13288.0,69.99,1.924443106562312,6.921809151113787,3.801475015051174,73.60014072847682,40.74360325105358,0.19589102950030102
"Cleburne County, Alabama",Cleburne,Alabama,AL,14910.0,3.2,12.8,18.5,15.3,20.1,38.6,60.4,,,,12968.0,55.0,2.8924275138803206,8.224706971005553,4.335441085749538,46.988894201110426,6.664481801357186,0.0
"Coffee County, Alabama",Coffee,Alabama,AL,52342.0,2.9,10.1,15.1,12.8,14.5,21.6,77.6,0.0,0.0,,53355.0,65.0,4.693187142723269,9.665898228844533,6.651991378502483,44.15942348420953,90.76343360509792,0.275119482710149
"Colbert County, Alabama",Colbert,Alabama,AL,55241.0,3.7,8.1,16.3,11.9,18.6,31.1,68.2,3.0,92.6,74.99,52812.0,35.0,5.386540937665682,11.13877527834583,7.386540937665682,48.46680962660001,93.40024994319472,0.16431871544345983
"Conecuh County, Alabama",Conecuh,Alabama,AL,12067.0,4.0,14.5,22.2,17.8,42.4,52.2,47.2,0.0,0.0,,10734.0,55.0,4.774548164710266,10.549096329420532,4.549096329420533,15.950752748276505,52.57108254145705,0.22545183528973356
"Coosa County, Alabama",Coosa,Alabama,AL,10663.0,3.0,7.8,14.0,10.3,24.8,35.1,64.3,0.0,0.0,,11022.0,69.99,4.296407185628743,10.029305026311015,4.296407185628743,64.95275630557067,76.07847940482671,0.32580293957539463
"Covington County, Alabama",Covington,Alabama,AL,37049.0,3.4,11.2,18.3,14.4,23.4,30.6,68.6,0.0,0.0,,38199.0,69.99,3.084845153014477,7.457315636534988,4.093065263488573,31.691416005654602,83.17081598994737,0.2153721301604754
"Crenshaw County, Alabama",Crenshaw,Alabama,AL,13772.0,2.8,10.0,15.7,18.7,29.1,40.1,59.6,1.0,81.4,187.47,12580.0,69.95,6.500794912559618,10.857710651828299,5.435135135135136,51.233691573926876,71.31224165341813,0.22400635930047696
"Cullman County, Alabama",Cullman,Alabama,AL,83768.0,2.6,11.8,15.8,12.0,18.7,29.2,69.9,0.0,0.0,,77878.0,35.0,4.454120547523049,12.327383856801664,6.497598808392614,54.99625516834023,85.40472277151441,0.3045917974267444
"Dale County, Alabama",Dale,Alabama,AL,49172.0,3.1,11.4,18.4,19.2,15.6,26.3,72.9,1.0,98.0,74.99,40406.0,44.99,4.271618076523288,9.27161807652329,6.271618076523289,80.6960788001782,96.77280601890808,0.11476018413106964
"Dallas County, Alabama",Dallas,Alabama,AL,37196.0,5.5,12.0,31.1,31.0,28.2,35.9,63.4,1.0,97.7,299.95,40723.0,69.99,3.9803550818947526,10.960710163789505,3.9309481128600545,54.9086086486752,84.76264027699335,0.06905188713994548
"DeKalb County, Alabama",DeKalb,Alabama,AL,71513.0,2.8,14.5,22.1,19.0,21.0,32.4,67.0,1.0,2.3,187.47,61787.0,55.0,4.8169679706087045,12.128101380549307,7.043730881900723,35.73900367391198,98.37522456180102,0.8168384935342385
"Elmore County, Alabama",Elmore,Alabama,AL,81209.0,2.6,8.2,12.3,12.7,13.4,20.1,79.6,3.0,87.2,139.99,85618.0,35.0,6.548856548856549,13.130568338433507,8.605526875189797,49.400899927585314,94.69534443691748,0.1699525800649396
"Escambia County, Alabama",Escambia,Alabama,AL,36633.0,3.5,15.5,24.0,16.9,34.6,42.0,57.3,1.0,90.1,187.47,34557.0,69.99,3.4065457070926293,9.40654570709263,3.531151430969123,44.20906502300547,76.68848569030877,0.0
"Etowah County, Alabama",Etowah,Alabama,AL,102268.0,3.3,10.4,17.3,14.1,16.6,26.1,73.4,0.0,0.0,,120492.0,35.0,6.559821398931049,13.660973342628557,9.112638183447864,66.289416973741,93.75158516747999,0.45460279520632074
"Fayette County, Alabama",Fayette,Alabama,AL,16302.0,3.1,8.8,20.0,18.5,22.2,30.7,68.9,0.0,0.0,,15585.0,55.0,3.9033044594161055,9.556304138594802,3.5973051010587103,33.0081392364453,19.422264998395896,0.09669554058389478
"Franklin County, Alabama",Franklin,Alabama,AL,31362.0,2.8,12.8,20.2,17.7,28.4,40.0,59.7,6.0,81.6,63.33,31124.0,39.99,4.963018892173242,11.250642590926617,4.6839737822901935,118.29707364092019,68.23056162446986,0.04555969669708264
"Geneva County, Alabama",Geneva,Alabama,AL,26271.0,2.9,13.7,24.0,18.7,20.2,32.2,66.9,7.0,91.2,70.0,24153.0,69.99,2.715521881339792,7.715521881339792,4.715521881339793,42.78613215749596,60.372665921417635,0.02463462095805904
"Greene County, Alabama",Greene,Alabama,AL,8111.0,5.6,11.4,38.7,41.8,44.8,53.7,46.2,5.0,69.2,67.5,8619.0,55.0,1.7174846269868895,8.645898596124841,3.200023204548091,32.466419538229495,46.95219863093166,0.258730711219399
"Hale County, Alabama",Hale,Alabama,AL,14651.0,3.9,8.8,26.0,27.1,34.4,44.8,54.9,4.0,29.9,70.0,14893.0,55.0,4.826227086550728,13.494460484791514,6.154300678170952,16.102525347478682,74.05646948230712,0.58503995165514
"Henry County, Alabama",Henry,Alabama,AL,17205.0,3.6,11.4,13.5,17.3,19.0,26.6,72.2,9.0,69.4,70.59,14605.0,44.99,5.0,10.92885997945909,6.5355700102704555,17.847026360835333,64.74899007189319,0.4644299897295447
"Houston County, Alabama",Houston,Alabama,AL,105882.0,3.0,10.4,18.3,14.7,19.9,28.5,70.4,2.0,88.2,67.97,104259.0,44.99,5.884364898953567,10.884364898953567,7.123106878063284,62.66719285625221,86.13710087378547,0.2284023441621347
"Jackson County, Alabama",Jackson,Alabama,AL,51626.0,3.3,9.6,20.2,12.7,21.7,32.4,67.1,7.0,79.2,65.0,53695.0,65.0,6.291963870006518,12.181488034267623,7.065108483098985,41.5265080547537,96.16552751652856,0.784318837880622
"Jefferson County, Alabama",Jefferson,Alabama,AL,658573.0,2.9,9.5,17.0,14.7,13.8,23.3,76.4,6.0,92.0,65.0,658136.0,35.0,5.740670621269768,10.924163090911296,7.434973926361726,77.00229028650612,99.74321416850015,1.0000000000000002
"Lamar County, Alabama",Lamar,Alabama,AL,13805.0,3.1,9.4,21.2,17.6,23.3,36.1,63.0,4.0,82.3,66.24,10177.0,49.95,2.897415741377616,7.794831482755233,4.439127444237005,44.18209393730962,49.48039697356785,0.10258425862238381
"Lauderdale County, Alabama",Lauderdale,Alabama,AL,92729.0,3.3,9.1,15.2,12.8,19.2,30.9,68.7,3.0,47.8,66.19,91354.0,35.0,4.976673161547387,10.430763841758436,6.9671607154585455,59.964996497142984,89.3308886310397,0.15409286949668322
"Lawrence County, Alabama",Lawrence,Alabama,AL,32924.0,3.1,8.2,16.8,15.4,24.0,39.8,59.2,7.0,67.0,67.5,33426.0,35.0,3.543050320110094,9.98115239633818,5.238347394244002,43.777294620953754,74.1512594985939,0.33674385209118646
"Lee County, Alabama",Lee,Alabama,AL,164542.0,2.7,7.9,21.4,11.7,9.7,19.3,80.3,2.0,28.5,72.45,139861.0,35.0,7.323750008937444,13.794217115564738,8.995788675899641,57.60829723797198,96.04946339580012,0.4459785072321805
"Limestone County, Alabama",Limestone,Alabama,AL,98915.0,2.6,9.6,13.7,11.4,14.2,22.8,76.6,5.0,64.4,68.65,79488.0,35.0,7.489533011272141,13.983506944444446,9.24796195652174,57.49215730676329,95.45079760466987,0.3104242149758454
"Lowndes County, Alabama",Lowndes,Alabama,AL,9726.0,5.7,9.2,27.9,32.3,33.8,50.0,49.4,3.0,43.4,61.66,7480.0,69.99,4.4696524064171115,10.625401069518716,3.4696524064171124,7.6499719251336895,23.26483957219251,1.0
"Macon County, Alabama",Macon,Alabama,AL,18068.0,4.3,8.1,25.8,24.2,26.5,43.5,55.8,4.0,14.5,57.5,20764.0,55.0,4.528655365054902,10.29907532267386,4.409266037372375,60.716852244268914,72.9339722596802,0.012184550183009055
"Madison County, Alabama",Madison,Alabama,AL,372909.0,2.5,8.9,13.2,10.6,9.1,15.8,83.9,8.0,90.2,69.99,337795.0,35.0,8.467872526236327,14.820761112509064,10.447895913201798,100.0476417649758,98.42109859530187,0.5611361920691543
"Marengo County, Alabama",Marengo,Alabama,AL,18863.0,3.5,9.6,21.8,21.0,32.6,45.8,53.1,7.0,80.3,67.35,18905.0,55.0,4.8769637661994185,12.950224808251786,3.7270563343030942,16.497742925152075,49.02539010843692,0.8275588468659086
"Marion County, Alabama",Marion,Alabama,AL,29709.0,3.4,10.5,17.5,14.8,22.4,34.8,64.6,3.0,44.9,60.0,28335.0,49.95,4.11148755955532,9.712969825304393,4.566543144520911,30.816446091406384,81.60077642491619,0.4535027351332275
"Marshall County, Alabama",Marshall,Alabama,AL,96774.0,2.5,13.1,21.7,15.6,17.5,25.4,74.5,7.0,81.2,67.5,99356.0,35.0,6.888149683964733,13.653891058416198,8.189490317645637,57.11007296992633,93.19910221828576,0.16797173799267281
"Mobile County, Alabama",Mobile,Alabama,AL,413210.0,3.7,11.6,19.3,17.0,17.5,27.1,72.2,5.0,85.4,69.99,411185.0,35.0,6.357955664725123,11.928686600921726,8.517368094653259,63.93724985104029,96.74250519839002,0.8495689288276567
"Monroe County, Alabama",Monroe,Alabama,AL,20733.0,4.9,13.4,30.9,15.9,49.6,57.0,41.6,6.0,72.3,67.46,17596.0,69.99,1.9028188224596498,6.189815867242555,2.9028188224596496,21.099765855876335,77.07433507615367,0.38974766992498294
"Montgomery County, Alabama",Montgomery,Alabama,AL,226486.0,3.1,10.5,20.7,19.1,14.1,22.4,77.4,3.0,77.5,63.33,227274.0,35.0,6.804971092161884,13.209914024481463,9.518035499001204,83.83540536972993,98.3058422872832,0.25926854809613065
"Morgan County, Alabama",Morgan,Alabama,AL,119679.0,2.6,10.2,15.3,13.5,16.1,26.5,72.8,5.0,94.3,74.99,117659.0,35.0,6.32310320502469,13.64255178099423,7.435138833408409,89.64562362420214,93.56545610620523,0.241485989172099
"Perry County, Alabama",Perry,Alabama,AL,8923.0,5.2,12.7,41.8,38.8,44.1,52.9,46.2,3.0,78.3,65.0,9530.0,55.0,2.353095487932844,11.706190975865688,2.6469045120671564,21.603961175236098,0.0,0.0
"Pickens County, Alabama",Pickens,Alabama,AL,19930.0,3.5,8.5,23.5,16.1,27.1,36.7,62.8,6.0,90.0,69.79,14715.0,55.0,3.737071015970099,9.149915052667348,5.487801563030922,25.10275840978593,46.32409106354061,0.0
"Pike County, Alabama",Pike,Alabama,AL,33114.0,3.3,9.6,26.6,16.5,30.7,39.1,59.2,9.0,92.8,60.0,34385.0,55.0,6.79281663516068,11.79281663516068,5.809568125636178,68.64976094227133,57.06118947215355,0.14837865348262325
"Randolph County, Alabama",Randolph,Alabama,AL,22722.0,3.0,10.5,17.7,15.0,20.4,29.1,68.9,2.0,75.1,70.0,22089.0,69.99,4.348635067228033,9.465978541355426,5.328987278736022,21.568716103037712,59.44578749603875,0.4930055683824528
"Russell County, Alabama",Russell,Alabama,AL,57961.0,2.9,13.4,20.1,19.2,17.5,33.4,66.2,6.0,94.5,69.81,50579.0,35.0,6.899068783487218,13.269795765040827,8.518752842088613,56.544275292117284,94.23140038355841,0.1166294311868562
"St. Clair County, Alabama",St. Clair,Alabama,AL,89512.0,2.7,8.8,13.2,10.9,14.6,23.9,75.2,3.0,27.2,58.63,75927.0,50.0,6.772781750892305,12.0962766868176,6.961963464907082,35.60451868241864,86.70267493776916,0.8078944249081355
"Shelby County, Alabama",Shelby,Alabama,AL,217702.0,2.2,6.8,8.4,5.4,6.7,13.4,86.4,5.0,65.1,62.31,203220.0,35.0,6.088519830725321,11.377142997736442,7.942928845586065,87.92224830233243,98.99448873142407,0.24718039563035132
"Sumter County, Alabama",Sumter,Alabama,AL,12427.0,4.5,15.5,31.3,29.6,29.2,41.7,57.9,3.0,56.5,74.99,10513.0,55.0,3.0,11.0,3.296299819271378,27.316564253781035,55.566536668886144,0.4798820507942547
"Talladega County, Alabama",Talladega,Alabama,AL,79978.0,3.4,9.3,19.9,17.4,19.0,29.8,69.8,2.0,0.2,60.0,78498.0,35.0,7.152730005860022,14.312237254452345,7.76363729012204,52.54611506025632,83.65906137735993,0.2275089811205381
"Tallapoosa County, Alabama",Tallapoosa,Alabama,AL,40367.0,3.0,8.1,20.3,20.1,20.2,29.8,70.0,5.0,56.2,69.99,36549.0,35.0,5.646173629921474,11.901420011491421,5.531259405182084,45.78112287613889,90.55495362390214,0.20421899367971763
"Tuscaloosa County, Alabama",Tuscaloosa,Alabama,AL,209355.0,2.7,7.5,17.4,10.0,13.5,21.8,78.0,4.0,60.1,69.99,195466.0,35.0,6.1534077537781515,11.172638719777352,8.150368862103894,68.66183883642168,96.94321774630882,0.4945924099331852
"Walker County, Alabama",Walker,Alabama,AL,63521.0,3.3,11.0,19.7,16.2,20.0,31.4,68.0,7.0,87.4,74.99,66055.0,35.0,4.360305805767921,11.278131859813794,5.815956399969721,57.79781379153736,86.47359018999319,0.3652865036711831
"Washington County, Alabama",Washington,Alabama,AL,16326.0,4.6,9.6,21.0,16.3,24.0,40.6,58.3,10.0,93.6,70.5,15455.0,55.0,2.4342284050469107,6.914914267227434,3.781041734066645,9.971181494661922,39.37813005499838,1.0
"Wilcox County, Alabama",Wilcox,Alabama,AL,10373.0,7.1,11.6,31.1,24.5,37.6,49.2,49.2,9.0,99.0,67.5,10379.0,69.99,3.3164081318046055,8.35841603237306,3.195683591868195,42.332321996338756,47.68416995857019,0.5361788226226033
"Winston County, Alabama",Winston,Alabama,AL,23629.0,3.3,12.3,16.2,14.2,24.3,36.7,62.2,5.0,37.6,58.31,25195.0,49.95,3.0124627902361576,8.730859297479657,4.835800754117881,16.7761857511411,69.44234967255407,0.4647747568962095
"Aleutians East Borough, Alaska",Aleutians East,Alaska,AK,3337.0,2.8,45.6,15.4,12.9,13.5,32.7,67.3,6.0,79.3,67.5,3103.0,,0.6690299709958105,2.0515630035449566,0.0,3.228343538511118,0.0,1.0
"Aleutians West Census Area, Alaska",Aleutians West,Alaska,AK,5634.0,3.6,18.8,8.5,6.0,7.3,24.0,75.7,3.0,56.7,65.0,5344.0,,1.6702844311377245,3.5196482035928143,0.0,3.0371201347305394,0.0,1.0000000000000002
"Anchorage Municipality, Alaska",Anchorage,Alaska,AK,288000.0,5.1,12.2,9.2,8.7,4.6,11.0,88.7,9.0,97.2,63.33,291516.0,74.99,2.2641810398057056,8.512959837538933,5.476344351596482,69.84062816449182,99.75051798186034,0.3665699309814898
"Bethel Census Area, Alaska",Bethel,Alaska,AK,18386.0,12.9,20.7,27.8,39.4,14.1,27.7,72.3,9.0,93.4,67.5,15013.0,,1.4708585892226735,4.9944048491307536,0.048358089655631785,3.3950476253913275,0.0,1.0
"Bristol Bay Borough, Alaska",Bristol Bay,Alaska,AK,836.0,6.1,19.8,5.8,5.7,7.5,16.8,81.4,1.0,13.5,65.0,978.0,,1.0,2.443762781186094,0.4437627811860941,6.200817995910021,0.0,1.0
"Denali Borough, Alaska",Denali,Alaska,AK,2097.0,8.5,19.2,16.9,5.6,5.2,11.4,88.6,2.0,67.6,65.49,1854.0,57.99,2.5765911542610573,8.846817691477886,2.7297734627831716,11.684870550161813,23.95523193096009,0.42340884573894283
"Dillingham Census Area, Alaska",Dillingham,Alaska,AK,4916.0,8.1,22.4,17.2,26.4,13.3,23.6,76.3,9.0,97.5,69.0,4668.0,,1.7821336760925448,4.672879177377892,0.0,2.4035304198800342,0.0,1.0
"Fairbanks North Star Borough, Alaska",Fairbanks North Star,Alaska,AK,96849.0,5.4,10.0,8.1,6.9,5.0,14.5,84.8,3.0,13.3,60.0,96222.0,74.99,2.131103074141049,8.247698031635178,2.2752073330423395,52.8259690091663,90.67506391469725,0.2580387021679034
"Haines Borough, Alaska",Haines,Alaska,AK,2530.0,8.9,15.5,9.0,7.7,4.2,10.9,87.4,5.0,84.7,59.98,2602.0,299.95,1.0,8.0,3.0,5.6,93.0,1.0
"Hoonah-Angoon Census Area, Alaska",Hoonah-Angoon,Alaska,AK,2148.0,11.4,25.1,9.7,14.0,15.9,29.7,70.3,9.0,95.3,71.87,1831.0,74.99,0.503003823047515,5.337520480611687,2.261605679956308,21.6296613872201,24.85253959584926,0.738394320043692
"Juneau City and Borough, Alaska",Juneau,Alaska,AK,31974.0,4.4,11.1,7.9,8.2,5.0,10.9,88.8,8.0,95.4,70.0,29164.0,74.99,3.0,10.0,6.0,94.95,99.0,0.0
"Kenai Peninsula Borough, Alaska",Kenai Peninsula,Alaska,AK,58708.0,6.8,17.2,12.0,9.6,9.9,21.5,77.1,1.0,62.9,60.0,55025.0,74.99,1.8405633802816903,7.76294411631077,5.242980463425716,24.058050159018627,98.41661063153113,0.4672785097682872
"Ketchikan Gateway Borough, Alaska",Ketchikan Gateway,Alaska,AK,13901.0,6.2,13.2,10.5,14.8,8.3,16.2,83.6,6.0,97.2,68.98,13508.0,74.95,3.0,8.0,4.0,44.61,99.0,0.0
"Kodiak Island Borough, Alaska",Kodiak Island,Alaska,AK,12998.0,5.6,20.3,9.3,9.2,10.7,17.5,82.5,7.0,90.9,68.24,13186.0,74.99,1.9714090702259972,4.972698316396178,1.9564689822539056,53.99991657818899,89.99757318367966,0.021765508873047172
"Kusilvak Census Area, Alaska",Kusilvak,Alaska,AK,8314.0,19.3,21.1,40.5,59.9,20.0,37.5,62.5,0.0,0.0,,6465.0,,0.0,3.0,0.0,1.7082072699149264,0.0,1.0
"Lake and Peninsula Borough, Alaska",Lake and Peninsula,Alaska,AK,1592.0,9.9,31.6,15.9,24.0,17.2,38.6,61.2,3.0,34.2,69.99,1155.0,,0.4683982683982684,2.4683982683982686,1.0,2.5703376623376624,0.0,1.0
"Matanuska-Susitna Borough, Alaska",Matanuska-Susitna,Alaska,AK,108317.0,6.9,15.2,10.3,10.3,5.8,13.2,86.2,6.0,55.4,67.46,80334.0,74.99,2.962780391863968,7.9615106928573205,4.944805437299276,29.693971419324317,97.21457913212338,0.03721960813603206
"Nome Census Area, Alaska",Nome,Alaska,AK,10004.0,10.9,22.5,23.1,31.8,11.3,28.0,72.0,5.0,51.0,76.22,7413.0,155.0,1.5447187373532982,3.363010926750303,0.5447187373532982,2.982679077296641,45.211655200323754,1.0
"North Slope Borough, Alaska",North Slope,Alaska,AK,9832.0,6.4,20.8,9.3,17.4,15.5,31.9,67.7,5.0,91.2,67.5,8507.0,,2.2959915363818033,3.9790760550135182,0.0,5.445557775949219,0.0,1.0
"Northwest Arctic Borough, Alaska",Northwest Arctic,Alaska,AK,7621.0,14.0,27.6,25.1,34.5,17.8,29.9,70.1,6.0,96.3,67.5,6736.0,,2.054928741092637,3.8862826603325415,0.8313539192399051,3.582439133016627,0.0,1.0
"Petersburg Borough, Alaska",Petersburg,Alaska,AK,3266.0,8.7,9.1,8.2,11.1,9.3,21.7,78.1,10.0,80.5,69.99,3763.0,74.99,1.701833643369652,6.403667286739304,2.7018336433696524,32.36025511559926,82.53893170342812,0.14908317831517406
"Prince of Wales-Hyder Census Area, Alaska",Prince of Wales-Hyder,Alaska,AK,6203.0,10.1,25.9,15.2,17.6,14.5,33.1,66.8,3.0,49.1,60.0,5432.0,,1.1170839469808542,5.813512518409426,1.5589101620029455,6.034024300441827,0.0,1.0
"Sitka City and Borough, Alaska",Sitka,Alaska,AK,8493.0,4.2,18.3,7.5,8.3,7.5,16.6,83.0,8.0,76.0,65.0,8880.0,74.99,2.0,5.0,3.0,51.69,98.0,0.0
"Skagway Municipality, Alaska",Skagway,Alaska,AK,1183.0,9.2,18.9,5.3,2.8,3.8,14.5,85.5,6.0,91.8,67.5,968.0,299.95,1.0,6.0,3.0,4.95,98.0,1.0
"Southeast Fairbanks Census Area, Alaska",Southeast Fairbanks,Alaska,AK,6893.0,9.0,15.6,10.8,8.8,10.4,27.7,71.8,6.0,92.5,66.56,6559.0,74.99,4.288001219698125,11.57600243939625,6.579966458301571,6.990038115566397,47.009452660466536,1.0
"Valdez-Cordova Census Area, Alaska",Valdez-Cordova,Alaska,AK,9202.0,7.5,15.7,8.1,4.6,8.7,20.7,79.1,5.0,76.8,67.19,9493.0,74.99,2.628989781944591,8.174022964289476,3.5762140524597066,17.046818708522068,85.41567470767933,0.578110186453176
"Wrangell City and Borough, Alaska",Wrangell,Alaska,AK,2502.0,7.7,15.0,7.8,13.8,17.3,27.9,71.7,5.0,52.8,72.98,2338.0,74.99,2.0,6.0,2.0,27.59,91.0,0.0
"Yakutat City and Borough, Alaska",Yakutat,Alaska,AK,579.0,7.7,20.5,6.7,8.6,9.5,28.9,69.8,3.0,46.5,60.0,662.0,,0.0,1.0,1.0,1.79,0.0,1.0
"Yukon-Koyukuk Census Area, Alaska",Yukon-Koyukuk,Alaska,AK,5230.0,14.0,29.2,25.1,31.8,33.5,56.0,43.7,6.0,63.5,60.18,2743.0,,1.132701421800948,3.0597885526795476,0.4053955523149836,5.514243528982865,0.0,1.0
"Apache County, Arizona",Apache,Arizona,AZ,71887.0,9.9,23.5,35.3,25.6,45.0,61.0,38.0,3.0,15.3,50.0,64417.0,90.95,1.0378626760016767,6.80668146607262,2.0757253520033534,11.857398202337892,1.1358802800502972,1.0
"Cochise County, Arizona",Cochise,Arizona,AZ,125922.0,5.7,8.2,17.2,16.2,13.2,21.2,78.2,3.0,26.0,63.33,132503.0,55.0,2.6326120918016955,10.225564704195374,4.138011969540312,61.654268356188155,70.31461929163868,0.479777816351328
"Coconino County, Arizona",Coconino,Arizona,AZ,143476.0,5.5,12.3,18.9,11.6,11.0,22.2,77.4,6.0,79.6,55.0,119948.0,40.0,3.2719761896821957,12.268508020142061,5.76052122586454,64.28419698536031,75.07626638209888,0.34876779937973124
"Gila County, Arizona",Gila,Arizona,AZ,54018.0,5.5,11.3,22.5,17.1,19.5,37.9,61.5,9.0,93.1,72.85,50343.0,40.0,2.8277218282581487,8.933357169815068,3.415171920624516,46.30290626303557,77.95240649146852,0.3003595335995074
"Graham County, Arizona",Graham,Arizona,AZ,38837.0,4.8,8.5,21.3,17.1,13.2,27.9,71.9,4.0,78.4,63.65,30125.0,55.0,3.0389045643153527,10.998439834024897,5.912033195020747,97.68986821576763,92.6672531120332,0.14041493775933608
"Greenlee County, Arizona",Greenlee,Arizona,AZ,9498.0,3.9,7.3,11.9,7.6,10.6,23.6,76.1,1.0,62.8,77.98,8405.0,55.0,2.692088042831648,8.307911957168354,3.692088042831648,42.333417013682336,58.01225461035099,0.3079119571683522
"La Paz County, Arizona",La Paz,Arizona,AZ,21108.0,5.8,14.5,22.1,14.6,23.5,39.0,60.6,1.0,6.9,60.0,18588.0,40.0,1.4268883150419625,7.891112545728426,2.8799225306649445,42.82414676135141,43.86507424144609,0.5079083279535184
"Maricopa County, Arizona",Maricopa,Arizona,AZ,4485414.0,4.0,11.1,14.7,10.1,8.5,15.6,84.1,3.0,71.0,70.24,3827796.0,24.99,3.819778796989181,11.878994335121309,5.923221613691013,96.14719807690902,94.38868920914283,1.0
"Mohave County, Arizona",Mohave,Arizona,AZ,212181.0,5.7,10.4,17.5,15.2,14.0,21.1,78.2,1.0,54.4,42.5,196955.0,40.0,2.316122972252545,9.607504252240359,3.149821025107258,68.98259607524561,83.24605112843035,0.28943159604985913
"Navajo County, Arizona",Navajo,Arizona,AZ,110924.0,7.3,13.5,28.5,23.2,25.2,38.7,60.7,2.0,77.3,48.31,104468.0,55.0,2.109985832982349,8.311071332848336,2.622496841137956,51.98399902362447,47.29160125588697,0.6123310487421985
"Pima County, Arizona",Pima,Arizona,AZ,1047279.0,4.4,9.9,17.8,13.6,9.0,16.4,83.1,3.0,67.5,52.5,972195.0,55.0,3.7196447214807735,13.135284587968465,7.831848548902226,81.50699294894545,99.36055729560424,0.955711559923678
"Pinal County, Arizona",Pinal,Arizona,AZ,462789.0,4.9,8.8,14.2,11.8,11.1,19.2,80.5,4.0,53.7,54.99,362307.0,59.95,4.215068988454544,14.726281854891015,7.022812145500915,53.97958601407093,90.46745439640968,0.6614252553773458
